iter	Passed	Remaining
0	55	55316
1	56	28017
2	56	18768
3	57	14231
4	57	11431
5	57	9560
6	57	8225
7	58	7224
8	58	6448
9	61	6133
10	62	5625
11	62	5178
12	63	4801
13	63	4481
14	63	4198
15	64	3951
16	64	3737
17	64	3544
18	65	3375
19	65	3222
20	66	3093
21	66	2963
22	66	2844
23	67	2738
24	67	2641
25	68	2552
26	68	2467
27	68	2387
28	69	2316
29	69	2249
30	69	2185
31	70	2125
32	70	2067
33	70	2016
34	71	1967
35	71	1919
36	72	1876
37	72	1834
38	72	1795
39	73	1757
40	73	1722
41	73	1686
42	74	1652
43	74	1621
44	74	1591
45	75	1561
46	75	1535
47	76	1509
48	76	1482
49	76	1456
50	76	1431
51	77	1408
52	77	1386
53	78	1366
54	78	1347
55	78	1327
56	79	1309
57	79	1290
58	79	1272
59	80	1254
60	80	1238
61	80	1221
62	81	1206
63	81	1191
64	81	1176
65	82	1162
66	82	1149
67	82	1137
68	83	1123
69	83	1110
70	83	1097
71	84	1085
72	84	1072
73	84	1061
74	85	1050
75	85	1040
76	85	1030
77	86	1019
78	86	1010
79	86	1000
80	87	990
81	87	982
82	87	971
83	88	963
84	88	955
85	89	946
86	89	938
87	89	929
88	90	921
89	90	913
90	90	905
91	91	899
92	91	892
93	91	885
94	92	878
95	92	871
96	93	866
97	93	861
98	93	855
99	94	850
100	94	845
101	95	838
102	95	832
103	95	827
104	96	822
105	96	817
106	97	813
107	98	809
108	98	804
109	98	798
110	99	792
111	99	787
112	99	782
113	100	777
114	100	772
115	100	767
116	100	761
117	101	756
118	101	751
119	101	746
120	102	741
121	102	736
122	102	732
123	103	728
124	103	725
125	103	720
126	104	717
127	104	713
128	105	709
129	105	705
130	105	701
131	106	697
132	106	693
133	106	689
134	107	685
135	107	682
136	107	678
137	108	674
138	108	670
139	108	667
140	108	663
141	109	659
142	109	655
143	109	652
144	110	649
145	110	646
146	110	642
147	111	639
148	111	636
149	111	633
150	112	630
151	112	627
152	112	624
153	113	621
154	113	619
155	114	617
156	114	615
157	115	613
158	115	611
159	115	608
160	116	605
161	116	602
162	116	599
163	117	596
164	117	593
165	117	591
166	117	588
167	118	585
168	118	583
169	119	581
170	119	579
171	119	576
172	120	574
173	120	571
174	120	569
175	121	566
176	121	564
177	121	561
178	122	559
179	122	557
180	122	555
181	123	553
182	123	551
183	123	549
184	124	547
185	124	544
186	124	542
187	125	540
188	125	538
189	125	536
190	126	534
191	126	532
192	126	530
193	127	528
194	127	526
195	127	524
196	128	522
197	128	520
198	128	518
199	129	516
200	129	515
201	129	513
202	130	510
203	130	509
204	130	507
205	131	505
206	131	503
207	131	501
208	132	499
209	132	498
210	132	496
211	133	494
212	133	492
213	133	491
214	133	489
215	134	487
216	134	485
217	134	483
218	135	482
219	135	480
220	135	479
221	136	477
222	136	475
223	137	474
224	137	473
225	137	471
226	138	470
227	138	469
228	138	467
229	139	465
230	139	464
231	139	462
232	140	461
233	140	459
234	140	458
235	141	456
236	141	455
237	141	453
238	142	452
239	142	451
240	142	449
241	143	448
242	143	447
243	143	445
244	144	444
245	144	443
246	144	441
247	145	440
248	145	439
249	145	437
250	146	436
251	146	434
252	146	433
253	147	432
254	147	430
255	147	429
256	148	428
257	148	427
258	148	426
259	149	424
260	149	423
261	149	422
262	150	421
263	150	420
264	151	418
265	151	417
266	151	416
267	152	415
268	152	413
269	152	412
270	152	411
271	153	410
272	153	409
273	154	408
274	154	406
275	154	405
276	155	404
277	155	403
278	155	402
279	156	401
280	156	400
281	157	399
282	157	398
283	157	398
284	158	397
285	158	396
286	159	395
287	159	394
288	159	393
289	160	391
290	160	391
291	161	390
292	161	389
293	161	388
294	162	387
295	162	386
296	162	385
297	163	384
298	163	383
299	163	382
300	164	380
301	164	380
302	164	379
303	165	378
304	165	377
305	165	376
306	166	375
307	166	374
308	167	373
309	167	372
310	167	371
311	167	370
312	168	369
313	168	368
314	169	367
315	169	366
316	169	365
317	169	364
318	170	363
319	170	362
320	170	361
321	171	360
322	171	359
323	171	358
324	172	358
325	173	357
326	173	356
327	173	355
328	174	354
329	174	353
330	174	353
331	175	352
332	175	351
333	175	350
334	175	349
335	176	348
336	176	347
337	176	346
338	177	345
339	177	344
340	177	343
341	178	342
342	178	342
343	178	341
344	179	340
345	179	339
346	179	338
347	180	337
348	180	336
349	180	336
350	181	335
351	181	334
352	181	333
353	182	332
354	182	331
355	182	330
356	183	330
357	183	329
358	183	328
359	184	327
360	184	326
361	184	325
362	185	324
363	185	324
364	185	323
365	186	322
366	186	321
367	186	320
368	187	320
369	187	319
370	187	318
371	188	317
372	188	316
373	188	316
374	189	315
375	189	314
376	190	314
377	190	313
378	190	312
379	191	311
380	191	311
381	191	310
382	192	309
383	192	308
384	192	308
385	193	307
386	193	306
387	193	305
388	194	305
389	194	304
390	195	303
391	195	303
392	195	302
393	196	301
394	196	300
395	196	299
396	197	299
397	197	298
398	197	297
399	198	297
400	198	296
401	198	295
402	199	294
403	199	294
404	199	293
405	200	292
406	200	292
407	200	291
408	201	290
409	201	289
410	201	289
411	202	288
412	202	287
413	202	286
414	203	286
415	203	285
416	203	285
417	204	284
418	204	283
419	204	283
420	205	282
421	205	281
422	206	281
423	206	280
424	206	279
425	207	279
426	207	278
427	207	277
428	208	277
429	208	276
430	208	275
431	209	275
432	209	274
433	209	273
434	210	273
435	210	272
436	211	271
437	212	272
438	212	271
439	212	270
440	213	270
441	213	269
442	213	268
443	214	268
444	214	267
445	214	266
446	215	266
447	215	265
448	215	264
449	216	264
450	216	263
451	216	262
452	217	262
453	217	261
454	217	261
455	218	260
456	218	259
457	219	259
458	219	258
459	219	257
460	219	257
461	220	256
462	220	255
463	221	255
464	221	254
465	221	254
466	222	253
467	222	252
468	222	252
469	223	251
470	223	250
471	223	250
472	223	249
473	224	248
474	224	248
475	225	247
476	225	247
477	225	246
478	225	245
479	226	245
480	226	244
481	226	243
482	227	243
483	228	243
484	228	242
485	229	242
486	229	241
487	229	241
488	230	240
489	230	239
490	230	239
491	231	238
492	231	238
493	231	237
494	232	236
495	232	236
496	232	235
497	233	234
498	233	234
499	233	233
500	233	233
501	234	232
502	234	231
503	234	231
504	235	230
505	235	229
506	235	229
507	236	228
508	236	228
509	236	227
510	237	226
511	237	226
512	237	225
513	238	225
514	238	224
515	238	224
516	239	223
517	239	222
518	239	222
519	240	221
520	240	221
521	241	220
522	241	220
523	241	219
524	242	218
525	242	218
526	242	217
527	243	217
528	243	216
529	243	216
530	243	215
531	244	214
532	244	214
533	244	213
534	245	213
535	245	212
536	245	211
537	246	211
538	246	210
539	246	210
540	247	209
541	247	209
542	247	208
543	248	207
544	248	207
545	248	206
546	249	206
547	249	205
548	249	205
549	250	204
550	250	203
551	250	203
552	250	202
553	251	202
554	251	201
555	251	201
556	252	200
557	252	200
558	252	199
559	253	198
560	253	198
561	253	197
562	254	197
563	254	196
564	254	196
565	255	195
566	255	195
567	255	194
568	256	194
569	256	193
570	256	192
571	257	192
572	257	191
573	257	191
574	258	190
575	258	190
576	258	189
577	259	189
578	259	188
579	259	188
580	260	187
581	260	187
582	260	186
583	261	185
584	261	185
585	261	184
586	262	184
587	262	183
588	262	183
589	263	182
590	263	182
591	263	181
592	264	181
593	264	180
594	264	180
595	265	179
596	265	179
597	265	178
598	266	178
599	266	177
600	266	177
601	267	176
602	267	176
603	268	175
604	268	175
605	268	174
606	269	174
607	269	173
608	269	173
609	270	172
610	270	172
611	270	171
612	270	171
613	271	170
614	271	170
615	271	169
616	272	169
617	272	168
618	272	168
619	273	167
620	273	167
621	273	166
622	274	165
623	274	165
624	274	164
625	275	164
626	275	163
627	275	163
628	276	162
629	276	162
630	276	161
631	277	161
632	277	160
633	277	160
634	278	159
635	278	159
636	278	158
637	279	158
638	279	157
639	279	157
640	280	156
641	280	156
642	280	155
643	280	155
644	281	154
645	281	154
646	281	153
647	282	153
648	282	152
649	282	152
650	283	151
651	283	151
652	283	150
653	284	150
654	284	149
655	284	149
656	284	148
657	285	148
658	285	147
659	285	147
660	286	146
661	286	146
662	286	145
663	287	145
664	287	144
665	287	144
666	288	143
667	288	143
668	288	142
669	289	142
670	289	141
671	289	141
672	290	140
673	290	140
674	290	140
675	291	139
676	291	139
677	291	138
678	292	138
679	292	137
680	292	137
681	293	136
682	293	136
683	294	135
684	294	135
685	294	134
686	295	134
687	295	133
688	295	133
689	296	132
690	296	132
691	296	132
692	296	131
693	297	131
694	297	130
695	297	130
696	298	129
697	298	129
698	298	128
699	299	128
700	299	127
701	299	127
702	300	126
703	300	126
704	300	125
705	301	125
706	301	124
707	301	124
708	302	124
709	302	123
710	302	123
711	303	122
712	303	122
713	303	121
714	304	121
715	304	120
716	304	120
717	305	119
718	305	119
719	305	118
720	306	118
721	306	117
722	306	117
723	307	117
724	307	116
725	307	116
726	308	115
727	308	115
728	308	114
729	309	114
730	309	113
731	309	113
732	310	112
733	310	112
734	310	112
735	311	111
736	311	111
737	311	110
738	312	110
739	312	109
740	312	109
741	313	108
742	313	108
743	313	107
744	314	107
745	314	107
746	314	106
747	314	106
748	315	105
749	315	105
750	316	104
751	316	104
752	316	103
753	316	103
754	317	102
755	317	102
756	317	102
757	318	101
758	318	101
759	318	100
760	319	100
761	319	99
762	319	99
763	320	98
764	320	98
765	320	97
766	321	97
767	321	97
768	321	96
769	322	96
770	322	95
771	322	95
772	323	94
773	323	94
774	323	94
775	324	93
776	324	93
777	324	92
778	325	92
779	325	91
780	325	91
781	326	90
782	326	90
783	326	90
784	327	89
785	327	89
786	327	88
787	327	88
788	328	87
789	328	87
790	328	86
791	329	86
792	329	86
793	329	85
794	330	85
795	330	84
796	330	84
797	331	83
798	331	83
799	331	82
800	332	82
801	332	82
802	332	81
803	333	81
804	333	80
805	333	80
806	334	79
807	334	79
808	334	79
809	335	78
810	335	78
811	335	77
812	336	77
813	336	76
814	336	76
815	337	76
816	337	75
817	337	75
818	338	74
819	338	74
820	338	73
821	339	73
822	339	73
823	339	72
824	340	72
825	340	71
826	340	71
827	341	70
828	341	70
829	341	69
830	342	69
831	342	69
832	342	68
833	343	68
834	343	67
835	343	67
836	344	67
837	344	66
838	344	66
839	345	65
840	345	65
841	345	64
842	346	64
843	346	64
844	346	63
845	347	63
846	347	62
847	347	62
848	347	61
849	348	61
850	348	61
851	348	60
852	349	60
853	349	59
854	349	59
855	350	58
856	350	58
857	350	58
858	351	57
859	351	57
860	351	56
861	352	56
862	352	55
863	352	55
864	353	55
865	353	54
866	353	54
867	354	53
868	354	53
869	354	53
870	355	52
871	355	52
872	355	51
873	356	51
874	356	50
875	356	50
876	357	50
877	357	49
878	357	49
879	358	48
880	358	48
881	358	47
882	359	47
883	359	47
884	359	46
885	360	46
886	360	45
887	360	45
888	361	45
889	361	44
890	361	44
891	362	43
892	362	43
893	362	43
894	363	42
895	363	42
896	363	41
897	364	41
898	364	40
899	364	40
900	365	40
901	365	39
902	365	39
903	366	38
904	366	38
905	366	38
906	367	37
907	367	37
908	367	36
909	368	36
910	368	36
911	368	35
912	369	35
913	369	34
914	369	34
915	370	33
916	370	33
917	370	33
918	371	32
919	371	32
920	371	31
921	372	31
922	372	31
923	372	30
924	373	30
925	373	29
926	373	29
927	374	29
928	374	28
929	374	28
930	375	27
931	375	27
932	375	26
933	376	26
934	376	26
935	376	25
936	377	25
937	377	24
938	377	24
939	377	24
940	378	23
941	378	23
942	379	22
943	379	22
944	379	22
945	380	21
946	380	21
947	380	20
948	380	20
949	381	20
950	381	19
951	381	19
952	382	18
953	382	18
954	382	18
955	383	17
956	383	17
957	384	16
958	384	16
959	384	16
960	385	15
961	385	15
962	385	14
963	386	14
964	386	14
965	386	13
966	387	13
967	387	12
968	387	12
969	388	12
970	388	11
971	388	11
972	389	10
973	389	10
974	389	9
975	390	9
976	390	9
977	390	8
978	391	8
979	391	7
980	391	7
981	392	7
982	392	6
983	392	6
984	393	5
985	393	5
986	393	5
987	394	4
988	394	4
989	394	3
990	395	3
991	395	3
992	396	2
993	396	2
994	396	1
995	397	1
996	397	1
997	397	0
998	398	0
999	398	0
